Start	End	StartM	EndM	length	lengthM	ch	iid1	iid2	SNP_Dens
17896	19830	0.6139929890632629	0.6803759932518005	1934	0.0663830041885376	20	VLI007	I19324	291.33963182912794
11453	13051	0.4501560032367706	0.5140330195426941	1598	0.06387701630592346	21	VLI007	POST_99	250.16822832593917
20015	22034	0.7799429893493652	0.8401839733123779	2019	0.0602409839630127	1	VLI007	I22064	335.15388813032064
63695	66641	2.0485990047454834	2.1198809146881104	2946	0.07128190994262695	1	VLI007	I0418	413.2885892607482
51704	56054	1.498507022857666	1.6067960262298584	4350	0.10828900337219237	2	VLI007	I23210	401.7028381957609
15428	19421	0.5771740078926086	0.6780269742012024	3993	0.10085296630859376	2	VLI007	I2445	395.92291096149467
20003	22732	0.6915169954299927	0.7665730118751526	2729	0.07505601644515991	2	VLI007	I2445	363.59510259833183
87072	90033	2.4192020893096924	2.5182039737701416	2961	0.09900188446044922	2	VLI007	I19332	299.08521601757036
40878	45840	1.133985996246338	1.246433973312378	4962	0.11244797706604004	3	VLI007	RISE98_noUDG.SG	441.2707217565903
48107	49917	1.4171960353851318	1.4803179502487185	1810	0.06312191486358643	4	VLI007	I21181	286.7466875666896
43159	46709	1.2911629676818848	1.376667022705078	3550	0.08550405502319336	4	VLI007	I5697	415.1849873128294
49140	51704	1.381392002105713	1.4468879699707031	2564	0.06549596786499022	5	VLI007	I6367	391.47448057952033
28528	30389	0.8768119812011719	0.9372469782829284	1861	0.060434997081756585	5	VLI007	RISE98_noUDG.SG	307.9341589910951
54166	56766	1.2672799825668335	1.3282920122146606	2600	0.06101202964782715	6	VLI007	I27383	426.1454691816821
53775	55255	1.5790300369262695	1.643576979637146	1480	0.06454694271087646	7	VLI007	I6367	229.2904881071328
4998	6762	0.16874100267887115	0.23681199550628665	1764	0.06807099282741548	8	VLI007	SZ2.SG	259.1412181209662
23209	27115	0.7456160187721252	0.8721140027046204	3906	0.12649798393249512	9	VLI007	I23210	308.7796246685175
